method,fraction,run,algorithm,auc_score
nar,0.4,19,ModelScorer,0.7857142857142857
nar,0.2,19,ModelScorer,0.8571428571428571
nnar,0.4,11,ModelScorer,0.7857142857142856
nar,0.05,7,AUMScorer,0.9204529970325184
nar,0.25,9,ModelScorer,0.6428571428571428
ncar,0.05,8,ModelScorer,1.0
nar,0.2,16,RandomForestScorer,0.8187075831433842
nar,0.4,10,RandomForestScorer,0.6763931733538835
nar,0.35,1,ModelScorer,0.7857142857142857
nnar,0.1,8,AUMScorer,0.9449414456365958
nnar,0.2,19,AUMScorer,0.5162324356791193
nar,0.35,18,RandomForestScorer,0.7926993791016457
nar,0.25,18,ModelScorer,0.9285714285714286
nnar,0.4,3,ModelScorer,0.7142857142857143
ncar,0.2,13,ModelScorer,0.7857142857142857
ncar,0.25,3,ModelScorer,0.9285714285714286
nnar,0.4,1,AUMScorer,0.9490106718957856
ncar,0.35,9,AUMScorer,0.9464833179296072
ncar,0.25,1,AUMScorer,0.9858821925128598
ncar,0.15,9,RandomForestScorer,0.8444412704343596
nar,0.05,10,AUMScorer,0.9172469960959856
nnar,0.05,10,RandomForestScorer,0.8386607504916116
ncar,0.2,8,RandomForestScorer,0.8251550735651468
ncar,0.3,13,AUMScorer,0.9513583314617045
nar,0.5,12,ModelScorer,0.7857142857142857
ncar,0.2,2,AUMScorer,0.9016132126852168
nar,0.05,7,RandomForestScorer,0.9092171947602192
nar,0.4,1,ModelScorer,0.7857142857142858
ncar,0.1,19,AUMScorer,0.9173010365374854
nnar,0.1,9,AUMScorer,0.9177789786231368
nnar,0.5,4,AUMScorer,0.4981172011865736
nar,0.15,8,ModelScorer,0.7857142857142857
nar,0.45,11,AUMScorer,0.4979227468925475
ncar,0.45,2,RandomForestScorer,0.7800972803342457
nar,0.3,1,AUMScorer,0.641588881883786
nar,0.25,8,RandomForestScorer,0.811234747082676
nar,0.1,9,ModelScorer,0.9285714285714286
nnar,0.15,2,ModelScorer,0.7857142857142857
nar,0.25,2,AUMScorer,0.8745793205738556
nar,0.1,7,AUMScorer,0.9493389791062264
nnar,0.15,0,AUMScorer,0.5090583235484272
nar,0.35,10,RandomForestScorer,0.7901787083391214
nar,0.15,19,AUMScorer,0.9194858177814518
ncar,0.35,17,RandomForestScorer,0.7957486169943021
nnar,0.15,19,RandomForestScorer,0.7975580774856205
ncar,0.35,19,ModelScorer,0.7857142857142857
nar,0.5,2,RandomForestScorer,0.7734735814795133
nnar,0.25,1,ModelScorer,0.7142857142857143
nar,0.4,2,ModelScorer,0.7857142857142857
nar,0.2,8,ModelScorer,0.9285714285714284
nnar,0.3,13,ModelScorer,0.7857142857142856
ncar,0.5,15,AUMScorer,0.969821577301432
nnar,0.25,18,RandomForestScorer,0.740633566767653
nar,0.4,19,RandomForestScorer,0.7846381954844504
nnar,0.1,19,ModelScorer,0.8571428571428572
ncar,0.05,6,RandomForestScorer,0.911351045650764
nnar,0.05,12,AUMScorer,0.9283660212198084
nnar,0.2,0,AUMScorer,0.9412102804861008
nnar,0.45,12,RandomForestScorer,0.7275367853341757
nar,0.2,19,AUMScorer,0.5375460265050179
nnar,0.25,12,AUMScorer,0.9173371227675812
ncar,0.05,0,AUMScorer,0.9330228127372372
nnar,0.3,2,AUMScorer,0.9379624266086668
nnar,0.35,4,ModelScorer,0.7857142857142857
nar,0.3,11,ModelScorer,0.8571428571428572
ncar,0.15,1,ModelScorer,0.8571428571428571
nnar,0.4,12,ModelScorer,0.5714285714285714
nnar,0.4,1,RandomForestScorer,0.7589934372784373
ncar,0.2,11,RandomForestScorer,0.82914745508948
ncar,0.35,9,RandomForestScorer,0.7958375011605603
ncar,0.25,1,RandomForestScorer,0.8153995100606585
ncar,0.1,2,ModelScorer,0.9285714285714286
nar,0.05,10,RandomForestScorer,0.9059561506721984
ncar,0.3,13,RandomForestScorer,0.7993695388310478
ncar,0.15,12,AUMScorer,0.954431712283864
ncar,0.1,19,RandomForestScorer,0.8692592137652462
nnar,0.05,13,AUMScorer,0.5411376690680932
nnar,0.1,9,RandomForestScorer,0.8095640063373146
ncar,0.05,19,ModelScorer,0.9285714285714284
nnar,0.5,15,ModelScorer,0.8571428571428571
nar,0.3,1,RandomForestScorer,0.8019103348004837
nar,0.15,2,ModelScorer,0.9285714285714284
nnar,0.15,3,AUMScorer,0.5172822173737914
nar,0.1,10,AUMScorer,0.8107969435734841
nnar,0.45,14,AUMScorer,0.9492400051230052
nar,0.15,0,AUMScorer,0.9162916375111004
nnar,0.15,0,RandomForestScorer,0.7989915693150799
nar,0.1,7,RandomForestScorer,0.8651691435751081
ncar,0.4,12,RandomForestScorer,0.7842295315408198
nar,0.25,11,AUMScorer,0.6085834836500731
nar,0.15,19,RandomForestScorer,0.8385506967572871
ncar,0.35,0,ModelScorer,0.7142857142857142
ncar,0.4,6,AUMScorer,0.9543610915028382
ncar,0.25,14,ModelScorer,0.7857142857142858
nnar,0.25,4,ModelScorer,0.7142857142857143
ncar,0.3,4,ModelScorer,0.7857142857142857
ncar,0.5,18,AUMScorer,0.9606942767998068
nnar,0.1,0,ModelScorer,0.9285714285714286
nnar,0.5,5,RandomForestScorer,0.7115884953091977
ncar,0.5,15,RandomForestScorer,0.7645394854626931
nar,0.45,12,RandomForestScorer,0.7861097818142811
nar,0.2,0,AUMScorer,0.9596993701894352
nnar,0.2,0,RandomForestScorer,0.7741264339898973
nnar,0.3,11,RandomForestScorer,0.7692832080801193
nnar,0.3,5,AUMScorer,0.8661016705599011
nar,0.35,4,ModelScorer,0.7142857142857142
ncar,0.05,9,AUMScorer,0.9150173618622272
nnar,0.1,11,AUMScorer,0.9190382566328686
nnar,0.15,13,ModelScorer,1.0
ncar,0.15,4,ModelScorer,0.9285714285714284
ncar,0.45,15,ModelScorer,0.7142857142857142
nar,0.3,3,AUMScorer,0.9242175482006074
ncar,0.1,3,AUMScorer,0.9376573770157922
ncar,0.4,14,AUMScorer,0.4943484636934143
nnar,0.4,4,AUMScorer,0.6298520255506224
nnar,0.45,6,ModelScorer,0.857142857142857
ncar,0.25,4,AUMScorer,0.899425154878084
nnar,0.5,18,ModelScorer,0.5714285714285714
nar,0.05,13,AUMScorer,0.8968392645474685
nar,0.45,3,ModelScorer,0.7857142857142856
nnar,0.05,13,RandomForestScorer,0.893625606131777
nar,0.5,15,ModelScorer,0.5714285714285714
ncar,0.2,5,AUMScorer,0.4836547515121734
nnar,0.5,13,RandomForestScorer,0.7353432592972489
nnar,0.45,17,AUMScorer,0.5109483351582708
nnar,0.15,14,ModelScorer,0.8571428571428571
