method,fraction,run,algorithm,auc_score
ncar,0.05,0,AUMScorer,0.9759736102740936
ncar,0.05,0,RandomForestScorer,0.8835751525799984
ncar,0.05,0,ModelScorer,0.8571428571428572
ncar,0.05,1,AUMScorer,0.8779452882312783
ncar,0.05,1,RandomForestScorer,0.940883113724626
ncar,0.05,1,ModelScorer,0.9285714285714286
ncar,0.05,2,AUMScorer,0.755441286785071
ncar,0.05,2,RandomForestScorer,0.9164784479407888
ncar,0.05,2,ModelScorer,0.8571428571428572
ncar,0.05,3,AUMScorer,0.7132773481207804
ncar,0.05,3,RandomForestScorer,0.915570710809406
ncar,0.05,3,ModelScorer,0.9285714285714286
ncar,0.05,4,AUMScorer,0.9398813289494624
ncar,0.05,4,RandomForestScorer,0.9245688486597576
ncar,0.05,4,ModelScorer,0.9285714285714286
ncar,0.05,5,AUMScorer,0.8280818069863145
ncar,0.05,5,RandomForestScorer,0.961038585115929
ncar,0.05,5,ModelScorer,0.9285714285714286
ncar,0.05,6,AUMScorer,0.976985184068507
ncar,0.05,6,RandomForestScorer,0.8242502564932462
ncar,0.05,6,ModelScorer,0.8571428571428572
ncar,0.05,7,AUMScorer,0.9643818819687908
ncar,0.05,7,RandomForestScorer,0.9530569486443476
ncar,0.05,7,ModelScorer,0.9285714285714286
ncar,0.05,8,AUMScorer,0.9042318512217608
ncar,0.05,8,RandomForestScorer,0.9632417171023896
ncar,0.05,8,ModelScorer,0.7857142857142857
ncar,0.05,9,AUMScorer,0.9239064869035788
ncar,0.05,9,RandomForestScorer,0.9049502972372432
ncar,0.05,9,ModelScorer,1.0
ncar,0.1,0,AUMScorer,0.899951533274135
ncar,0.1,0,RandomForestScorer,0.8250302920928371
ncar,0.1,0,ModelScorer,0.7857142857142858
ncar,0.1,1,AUMScorer,0.8683306125797298
ncar,0.1,1,RandomForestScorer,0.7554488283156807
ncar,0.1,1,ModelScorer,0.6428571428571429
ncar,0.1,2,AUMScorer,0.8717805909353269
ncar,0.1,2,RandomForestScorer,0.834370683185472
ncar,0.1,2,ModelScorer,0.7857142857142858
ncar,0.1,3,AUMScorer,0.8974676300049196
ncar,0.1,3,RandomForestScorer,0.8719169414414228
ncar,0.1,3,ModelScorer,0.7857142857142856
ncar,0.1,4,AUMScorer,0.6952254537404098
ncar,0.1,4,RandomForestScorer,0.8439000047758075
ncar,0.1,4,ModelScorer,0.9285714285714286
ncar,0.1,5,AUMScorer,0.8402507348098691
ncar,0.1,5,RandomForestScorer,0.7302588780416124
ncar,0.1,5,ModelScorer,0.7142857142857142
ncar,0.1,6,AUMScorer,0.8473802516147948
ncar,0.1,6,RandomForestScorer,0.7954551480971801
ncar,0.1,6,ModelScorer,0.9285714285714286
ncar,0.1,7,AUMScorer,0.6898672303926527
ncar,0.1,7,RandomForestScorer,0.736709852393566
ncar,0.1,7,ModelScorer,0.7857142857142858
ncar,0.1,8,AUMScorer,0.9082844311150656
ncar,0.1,8,RandomForestScorer,0.7538248496645942
ncar,0.1,8,ModelScorer,0.7857142857142857
ncar,0.1,9,AUMScorer,0.4847122125407961
ncar,0.1,9,RandomForestScorer,0.8283201481316987
ncar,0.1,9,ModelScorer,0.8571428571428572
ncar,0.15,0,AUMScorer,0.793514684625189
ncar,0.15,0,RandomForestScorer,0.7921718017713986
ncar,0.15,0,ModelScorer,0.7142857142857143
ncar,0.15,1,AUMScorer,0.8083833507918996
ncar,0.15,1,RandomForestScorer,0.7090205299664419
ncar,0.15,1,ModelScorer,0.7857142857142857
ncar,0.15,2,AUMScorer,0.8338123416407848
ncar,0.15,2,RandomForestScorer,0.7869667955972294
ncar,0.15,2,ModelScorer,0.7857142857142858
ncar,0.15,3,AUMScorer,0.7678292289998765
ncar,0.15,3,RandomForestScorer,0.803042203782597
ncar,0.15,3,ModelScorer,0.7857142857142857
ncar,0.15,4,AUMScorer,0.8474298878579026
ncar,0.15,4,RandomForestScorer,0.7883320650118257
ncar,0.15,4,ModelScorer,0.8571428571428572
ncar,0.15,5,AUMScorer,0.8677216694723715
ncar,0.15,5,RandomForestScorer,0.729083793151541
ncar,0.15,5,ModelScorer,0.8571428571428572
ncar,0.15,6,AUMScorer,0.7808449134914754
ncar,0.15,6,RandomForestScorer,0.827145279025878
ncar,0.15,6,ModelScorer,1.0
ncar,0.15,7,AUMScorer,0.5412719763297307
ncar,0.15,7,RandomForestScorer,0.790431679776375
ncar,0.15,7,ModelScorer,0.8571428571428571
ncar,0.15,8,AUMScorer,0.5559565064087493
ncar,0.15,8,RandomForestScorer,0.7729903703693032
ncar,0.15,8,ModelScorer,0.7857142857142857
ncar,0.15,9,AUMScorer,0.5162221667331395
ncar,0.15,9,RandomForestScorer,0.7647738116157536
ncar,0.15,9,ModelScorer,0.7142857142857142
ncar,0.2,0,AUMScorer,0.6740907138033114
ncar,0.2,0,RandomForestScorer,0.8315941854640181
ncar,0.2,0,ModelScorer,0.5714285714285714
ncar,0.2,1,AUMScorer,0.6500453465679816
ncar,0.2,1,RandomForestScorer,0.7457342375680456
ncar,0.2,1,ModelScorer,0.8571428571428572
ncar,0.2,2,AUMScorer,0.776582955569439
ncar,0.2,2,RandomForestScorer,0.7408046787077127
ncar,0.2,2,ModelScorer,0.7142857142857143
ncar,0.2,3,AUMScorer,0.7545892168452053
ncar,0.2,3,RandomForestScorer,0.7487847218706692
ncar,0.2,3,ModelScorer,0.7142857142857143
ncar,0.2,4,AUMScorer,0.6679735741232626
ncar,0.2,4,RandomForestScorer,0.7585184224897404
ncar,0.2,4,ModelScorer,0.7857142857142858
ncar,0.2,5,AUMScorer,0.6185920825130431
ncar,0.2,5,RandomForestScorer,0.7047921318313872
ncar,0.2,5,ModelScorer,0.7142857142857143
ncar,0.2,6,AUMScorer,0.6245417196798964
ncar,0.2,6,RandomForestScorer,0.7608570497567461
ncar,0.2,6,ModelScorer,0.7142857142857143
ncar,0.2,7,AUMScorer,0.6011843788209539
ncar,0.2,7,RandomForestScorer,0.6816773512434191
