method,fraction,run,algorithm,auc_score
ncar,0.2,16,RandomForestScorer,0.8316572872919834
nar,0.3,3,ModelScorer,0.7142857142857143
nnar,0.05,7,RandomForestScorer,0.8683626087591239
nar,0.2,14,ModelScorer,0.7142857142857143
nar,0.3,11,AUMScorer,0.6820420047356258
nar,0.35,15,ModelScorer,0.7857142857142857
nar,0.2,0,AUMScorer,0.6924019827015843
nar,0.25,4,ModelScorer,0.8571428571428571
nar,0.35,1,AUMScorer,0.5074771223000487
nnar,0.05,4,ModelScorer,0.7857142857142857
nnar,0.2,18,RandomForestScorer,0.8262970663232239
nar,0.3,1,RandomForestScorer,0.8292660112541914
ncar,0.4,16,AUMScorer,0.5930614674146482
nnar,0.2,11,ModelScorer,0.6428571428571429
ncar,0.45,6,AUMScorer,0.3885487516545862
nar,0.15,16,AUMScorer,0.821182809256502
nar,0.05,7,ModelScorer,0.7142857142857143
ncar,0.25,15,RandomForestScorer,0.832031569635326
nar,0.1,7,RandomForestScorer,0.8453476150668049
ncar,0.4,0,ModelScorer,0.7142857142857142
nar,0.05,5,AUMScorer,0.7195317615027241
ncar,0.45,12,ModelScorer,0.7142857142857143
nnar,0.35,13,ModelScorer,0.7142857142857143
ncar,0.25,18,ModelScorer,0.7857142857142857
ncar,0.15,5,RandomForestScorer,0.8448675318015088
ncar,0.5,2,ModelScorer,0.8571428571428572
ncar,0.15,14,AUMScorer,0.7426213516897829
nnar,0.3,14,ModelScorer,0.5714285714285714
nnar,0.2,19,RandomForestScorer,0.8075223261517646
nar,0.45,9,AUMScorer,0.5103157317512893
ncar,0.1,8,ModelScorer,0.9285714285714284
nnar,0.25,9,RandomForestScorer,0.8185476987153562
nar,0.2,12,ModelScorer,0.8571428571428571
nar,0.05,15,RandomForestScorer,0.8950615898731752
nnar,0.35,2,AUMScorer,0.8031427611578046
nar,0.4,10,AUMScorer,0.5429141907521171
nnar,0.1,18,AUMScorer,0.7062463558235693
nar,0.25,0,AUMScorer,0.6738067342822264
ncar,0.05,10,AUMScorer,0.7156414020466929
