method,fraction,run,algorithm,auc_score
nar,0.3,8,AUMScorer,0.7887853123593482
nar,0.1,14,AUMScorer,0.8417714077183122
nar,0.05,18,ModelScorer,1.0
ncar,0.5,11,AUMScorer,0.6691372666221446
ncar,0.1,7,RandomForestScorer,0.9598617075323124
ncar,0.4,0,AUMScorer,0.7208164250643279
nnar,0.05,5,AUMScorer,0.8954479897278614
ncar,0.35,17,ModelScorer,1.0
nar,0.45,18,RandomForestScorer,0.9210826983134028
nar,0.25,18,RandomForestScorer,0.931314939625706
ncar,0.45,12,AUMScorer,0.682005691124263
ncar,0.2,18,RandomForestScorer,0.9480073885225876
nnar,0.45,18,ModelScorer,0.9285714285714284
nar,0.3,8,RandomForestScorer,0.9359258792430531
nnar,0.5,8,ModelScorer,0.8571428571428571
ncar,0.1,8,AUMScorer,0.8064079673523253
nnar,0.1,14,ModelScorer,1.0
nar,0.1,14,RandomForestScorer,0.96043435300071
nar,0.4,7,AUMScorer,0.784636970878687
nar,0.45,19,AUMScorer,0.7051711443054841
ncar,0.4,0,RandomForestScorer,0.9201648669412638
ncar,0.45,12,RandomForestScorer,0.817930554790264
ncar,0.05,6,ModelScorer,0.9285714285714284
nnar,0.25,0,AUMScorer,0.7890778551519684
ncar,0.5,2,RandomForestScorer,0.904239256747822
nnar,0.25,18,RandomForestScorer,0.94460878447541
nnar,0.15,17,AUMScorer,0.8140341499950396
ncar,0.05,19,AUMScorer,0.8489484336240135
ncar,0.4,17,ModelScorer,0.8571428571428571
ncar,0.2,17,ModelScorer,0.8571428571428572
nar,0.45,19,RandomForestScorer,0.9345572271769332
nnar,0.1,18,AUMScorer,0.8197258828705769
nar,0.5,7,ModelScorer,0.9285714285714286
nar,0.3,7,ModelScorer,0.9285714285714286
ncar,0.25,7,ModelScorer,0.8571428571428572
nnar,0.2,4,ModelScorer,1.0
nnar,0.5,12,RandomForestScorer,0.9047186272697288
nar,0.1,13,ModelScorer,0.9285714285714284
nar,0.15,3,ModelScorer,0.9285714285714284
ncar,0.3,10,AUMScorer,0.756777685119729
nnar,0.2,17,AUMScorer,0.7853364427700363
nnar,0.1,18,RandomForestScorer,0.961681791779279
nnar,0.4,11,AUMScorer,0.7720799835831506
ncar,0.5,1,ModelScorer,0.857142857142857
nnar,0.15,8,RandomForestScorer,0.95655145195859
nnar,0.45,1,AUMScorer,0.7409832146289413
nar,0.15,16,AUMScorer,0.8436124274030377
nnar,0.25,17,ModelScorer,0.7857142857142857
nnar,0.3,7,ModelScorer,0.9285714285714286
ncar,0.05,10,RandomForestScorer,0.9637603894323086
nar,0.1,17,AUMScorer,0.8280362744505579
ncar,0.4,18,ModelScorer,0.8571428571428571
nnar,0.35,10,AUMScorer,0.784101968803826
ncar,0.25,11,RandomForestScorer,0.9359424721625614
ncar,0.3,1,RandomForestScorer,0.9356172111260536
nar,0.35,1,RandomForestScorer,0.9392743642649052
nnar,0.2,8,RandomForestScorer,0.9560391245670012
nnar,0.4,2,RandomForestScorer,0.9256353545267588
nar,0.1,17,RandomForestScorer,0.9535666037870972
nar,0.4,10,AUMScorer,0.8115632819704709
nar,0.15,7,RandomForestScorer,0.9578553698187696
nar,0.45,0,AUMScorer,0.8312112776550405
nnar,0.15,7,ModelScorer,0.8571428571428571
nar,0.25,16,ModelScorer,1.0
nar,0.3,6,ModelScorer,0.9285714285714286
ncar,0.05,9,ModelScorer,0.9285714285714284
nnar,0.35,10,RandomForestScorer,0.9330413856153412
ncar,0.5,9,ModelScorer,0.9285714285714286
nar,0.3,19,AUMScorer,0.8143890087585627
nnar,0.05,3,ModelScorer,1.0
nnar,0.15,11,AUMScorer,0.8241371338611655
ncar,0.3,0,ModelScorer,0.9285714285714286
nar,0.4,1,RandomForestScorer,0.9293878115712674
nnar,0.2,7,ModelScorer,0.7857142857142857
nar,0.15,6,ModelScorer,0.9285714285714284
ncar,0.1,6,ModelScorer,0.9285714285714284
nar,0.05,4,AUMScorer,0.9122321880523756
ncar,0.5,13,AUMScorer,0.6798781714118134
ncar,0.15,18,ModelScorer,0.9285714285714286
nar,0.5,18,RandomForestScorer,0.8999082034921315
ncar,0.15,8,ModelScorer,0.8571428571428572
nar,0.25,11,AUMScorer,0.8049347730999474
nar,0.15,11,ModelScorer,0.9285714285714284
nar,0.4,7,RandomForestScorer,0.9274045414664096
ncar,0.25,19,ModelScorer,0.8571428571428572
ncar,0.15,11,RandomForestScorer,0.950698244064975
nnar,0.5,11,ModelScorer,0.8571428571428572
nar,0.1,12,ModelScorer,1.0
nnar,0.1,6,AUMScorer,0.8474304130845633
nnar,0.35,1,ModelScorer,1.0
nnar,0.2,0,ModelScorer,1.0
ncar,0.1,12,RandomForestScorer,0.9578621419165524
nnar,0.5,14,RandomForestScorer,0.9227668460259852
nnar,0.4,3,RandomForestScorer,0.9424529792818774
nar,0.4,5,ModelScorer,0.8571428571428571
nar,0.05,10,RandomForestScorer,0.9671745303057504
ncar,0.4,19,AUMScorer,0.6918108204606307
nar,0.15,1,AUMScorer,0.8262571326234649
nnar,0.45,11,AUMScorer,0.6992620290919472
nnar,0.5,1,AUMScorer,0.7366832738474257
ncar,0.35,10,ModelScorer,0.9285714285714284
nnar,0.1,7,AUMScorer,0.831853864128903
nnar,0.05,19,ModelScorer,0.9285714285714284
nar,0.3,14,ModelScorer,0.8571428571428571
nar,0.35,4,ModelScorer,0.857142857142857
ncar,0.3,14,RandomForestScorer,0.9399319387727342
nar,0.3,17,RandomForestScorer,0.9478114721080984
nar,0.2,6,RandomForestScorer,0.9441888311761998
nnar,0.35,6,RandomForestScorer,0.9288387595537044
ncar,0.05,16,AUMScorer,0.8599768702794501
nnar,0.15,12,RandomForestScorer,0.952850505026487
nar,0.2,2,AUMScorer,0.8406063982409681
nar,0.35,3,AUMScorer,0.7406269191989417
nar,0.1,19,AUMScorer,0.8250987108960525
nar,0.15,14,ModelScorer,0.9285714285714284
nar,0.3,4,AUMScorer,0.7638846053988398
nar,0.45,0,RandomForestScorer,0.924469893225921
ncar,0.25,17,AUMScorer,0.7524517727141633
ncar,0.45,11,AUMScorer,0.7184742629808656
ncar,0.4,13,RandomForestScorer,0.8540444425885926
ncar,0.35,2,ModelScorer,0.7142857142857142
ncar,0.2,1,ModelScorer,0.9285714285714286
nar,0.2,4,ModelScorer,0.8571428571428572
ncar,0.35,19,AUMScorer,0.7662422689765461
ncar,0.1,18,ModelScorer,0.9285714285714284
nnar,0.5,17,RandomForestScorer,0.874217438602195
nnar,0.25,10,AUMScorer,0.77080935247248
ncar,0.2,4,RandomForestScorer,0.9458576919603684
nnar,0.15,10,ModelScorer,0.8571428571428571
nnar,0.4,6,RandomForestScorer,0.9419153306722308
nnar,0.1,11,ModelScorer,0.9285714285714284
nar,0.5,14,AUMScorer,0.7410763087511634
ncar,0.5,16,RandomForestScorer,0.9280995122035708
nar,0.4,3,AUMScorer,0.797959403866422
nar,0.45,15,AUMScorer,0.7900993885452142
nar,0.05,4,RandomForestScorer,0.973168008825776
ncar,0.4,2,ModelScorer,0.8571428571428571
nar,0.35,7,ModelScorer,0.8571428571428571
ncar,0.5,14,ModelScorer,0.8571428571428571
nnar,0.05,3,RandomForestScorer,0.9614582016113816
nar,0.15,13,ModelScorer,1.0
nar,0.35,10,RandomForestScorer,0.9381279427270184
nar,0.2,9,RandomForestScorer,0.9495009654849658
ncar,0.5,17,RandomForestScorer,0.8410713084018021
nar,0.05,2,ModelScorer,1.0
ncar,0.2,12,RandomForestScorer,0.9474892248808682
nnar,0.3,13,ModelScorer,0.8571428571428571
nar,0.05,19,AUMScorer,0.8798049136492027
nar,0.15,16,RandomForestScorer,0.9538641214741992
nnar,0.35,3,ModelScorer,0.7857142857142857
nnar,0.25,4,RandomForestScorer,0.9473924418491296
nnar,0.1,19,ModelScorer,0.9285714285714284
nnar,0.3,16,RandomForestScorer,0.940938766125634
nar,0.4,16,ModelScorer,0.9285714285714284
nar,0.15,12,AUMScorer,0.8065973580201968
nar,0.45,6,ModelScorer,1.0
nnar,0.2,5,RandomForestScorer,0.9468267645908488
nar,0.5,18,ModelScorer,0.8571428571428572
nnar,0.5,12,AUMScorer,0.7136820862441438
ncar,0.35,0,AUMScorer,0.725443066031577
nnar,0.35,2,AUMScorer,0.7787706460860948
ncar,0.1,16,AUMScorer,0.8002327660133857
ncar,0.15,11,ModelScorer,1.0
nar,0.25,14,AUMScorer,0.8275180293309712
nar,0.4,10,RandomForestScorer,0.9404513766139068
nnar,0.3,3,AUMScorer,0.8017941213099757
nnar,0.4,12,ModelScorer,0.7857142857142857
nnar,0.15,8,AUMScorer,0.8309426349392113
nnar,0.5,14,ModelScorer,0.7857142857142857
nar,0.4,6,AUMScorer,0.7253266557448792
nnar,0.2,3,ModelScorer,0.9285714285714286
nar,0.05,10,ModelScorer,1.0
ncar,0.2,0,AUMScorer,0.7670809361381286
nnar,0.4,2,AUMScorer,0.7673299785430566
ncar,0.05,4,RandomForestScorer,0.9724811490740596
nnar,0.05,6,RandomForestScorer,0.9675736366006312
nar,0.3,1,RandomForestScorer,0.93205911000834
ncar,0.5,12,AUMScorer,0.6279298860711235
ncar,0.35,13,ModelScorer,0.9285714285714284
nar,0.2,15,ModelScorer,0.9285714285714286
ncar,0.05,0,AUMScorer,0.8828897359512173
ncar,0.35,16,RandomForestScorer,0.936024985026686
nar,0.15,19,RandomForestScorer,0.9574181699199952
nar,0.05,0,AUMScorer,0.8969891959483751
ncar,0.2,15,RandomForestScorer,0.94961668164366
nar,0.3,17,ModelScorer,0.7857142857142856
ncar,0.25,5,RandomForestScorer,0.9478943753843304
nnar,0.35,6,ModelScorer,0.9285714285714286
ncar,0.3,17,RandomForestScorer,0.9384206231140124
nnar,0.15,12,ModelScorer,0.9285714285714284
nnar,0.35,9,RandomForestScorer,0.9348618734538892
nar,0.45,9,ModelScorer,0.7857142857142856
ncar,0.05,2,ModelScorer,1.0
nar,0.5,16,AUMScorer,0.7432512118237143
nnar,0.15,15,RandomForestScorer,0.9551710478290236
nar,0.3,16,AUMScorer,0.8499076658675728
ncar,0.35,3,AUMScorer,0.805361264263099
nar,0.2,5,AUMScorer,0.8607796036017195
nar,0.35,6,AUMScorer,0.7656319576513508
nar,0.5,2,RandomForestScorer,0.8878062073468403
ncar,0.1,19,AUMScorer,0.7905928451783553
ncar,0.4,13,ModelScorer,1.0
nar,0.4,13,RandomForestScorer,0.920918359523076
nnar,0.4,15,ModelScorer,0.7857142857142856
ncar,0.15,9,AUMScorer,0.7796886820198403
nnar,0.45,5,ModelScorer,0.9285714285714284
ncar,0.25,3,ModelScorer,1.0
ncar,0.4,16,RandomForestScorer,0.9103426185809051
nnar,0.5,17,ModelScorer,0.7857142857142858
ncar,0.2,4,ModelScorer,1.0
nnar,0.3,12,AUMScorer,0.7984767502732056
